Plant Name,Scientific Name,Forest Type,Peak Season,Height (m),Famous Forest,Soil Type,Land Area Found,City,Region,Unique Fact,Endemic to India,Conservation Status,Medicinal Use,Season,Most Active Time
Jamun,Syzygium cumini,Deciduous Forest,Spring,22,Western Ghats,Alluvial,Wetlands,Kolkata,East India,National tree of India,No,Least Concern,Yes,Autumn,Day
Mango,Mangifera indica,Mangrove Forest,Monsoon,18,Himalayan Forests,Black,Plains,Mumbai,West India,Attracts fruit bats,No,Near Threatened,Yes,Monsoon,Night
Teak,Tectona grandis,Montane Forest,Spring,35,Jim Corbett National Park,Red,Riverbanks,Hyderabad,South India,High commercial value,No,Least Concern,Yes,Spring,Day
Teak,Tectona grandis,Tropical Rainforest,Winter,35,Kaziranga,Alluvial,Coastal Areas,Chennai,South India,High commercial value,No,Least Concern,No,Summer,Night
Mango,Mangifera indica,Deciduous Forest,Winter,18,Kaziranga,Sandy,Wetlands,Hyderabad,South India,Attracts fruit bats,No,Critically Endangered,No,Monsoon,Both
Mango,Mangifera indica,Dry Thorn Forest,Autumn,18,Jim Corbett National Park,Black,Plains,Hyderabad,South India,Attracts fruit bats,Yes,Critically Endangered,Yes,Monsoon,Both
Mango,Mangifera indica,Montane Forest,Monsoon,18,Jim Corbett National Park,Sandy,Riverbanks,Shimla,North India,Attracts fruit bats,Yes,Least Concern,No,Winter,Night
Banyan,Ficus benghalensis,Tropical Rainforest,Summer,30,Sundarbans,Black,Wetlands,Jaipur,West India,Host to diverse epiphytes,No,Critically Endangered,No,Summer,Day
Sal,Shorea robusta,Tropical Rainforest,Summer,40,Sundarbans,Laterite,Riverbanks,Bhopal,Central India,Source of sandalwood oil,No,Least Concern,Yes,Autumn,Night
Coconut,Cocos nucifera,Montane Forest,Monsoon,12,Jim Corbett National Park,Sandy,Wetlands,Delhi,North India,Used in shipbuilding,Yes,Least Concern,Yes,Summer,Both
Jamun,Syzygium cumini,Mangrove Forest,Summer,22,Jim Corbett National Park,Red,Hills,Jaipur,West India,National tree of India,Yes,Least Concern,Yes,Autumn,Day
Mango,Mangifera indica,Deciduous Forest,Monsoon,18,Sundarbans,Red,Coastal Areas,Delhi,North India,Attracts fruit bats,No,Least Concern,Yes,Spring,Night
Neem,Azadirachta indica,Dry Thorn Forest,Spring,20,Sundarbans,Black,Wetlands,Jaipur,West India,Used in Ayurveda,Yes,Least Concern,Yes,Autumn,Day
Sandalwood,Santalum album,Tropical Rainforest,Spring,10,Kaziranga,Red,Hills,Bangalore,South India,Fire-resistant bark,No,Least Concern,Yes,Winter,Both
Sandalwood,Santalum album,Mangrove Forest,Monsoon,10,Himalayan Forests,Laterite,Wetlands,Delhi,North India,Fire-resistant bark,Yes,Critically Endangered,Yes,Summer,Both
Teak,Tectona grandis,Deciduous Forest,Summer,35,Western Ghats,Alluvial,Plains,Kolkata,East India,High commercial value,Yes,Critically Endangered,No,Summer,Night
Jamun,Syzygium cumini,Montane Forest,Autumn,22,Western Ghats,Laterite,Plains,Hyderabad,South India,National tree of India,No,Critically Endangered,Yes,Autumn,Day
Teak,Tectona grandis,Deciduous Forest,Summer,35,Sundarbans,Red,Riverbanks,Bangalore,South India,High commercial value,No,Least Concern,No,Autumn,Night
Teak,Tectona grandis,Mangrove Forest,Autumn,35,Jim Corbett National Park,Sandy,Coastal Areas,Shimla,North India,High commercial value,No,Near Threatened,No,Summer,Day
Mango,Mangifera indica,Tropical Rainforest,Summer,18,Sundarbans,Black,Wetlands,Kolkata,East India,Attracts fruit bats,No,Near Threatened,No,Spring,Day
Sal,Shorea robusta,Mangrove Forest,Summer,40,Jim Corbett National Park,Sandy,Wetlands,Kolkata,East India,Source of sandalwood oil,Yes,Least Concern,No,Spring,Night
Rosewood,Dalbergia latifolia,Montane Forest,Spring,15,Kaziranga,Laterite,Wetlands,Hyderabad,South India,Important timber species,No,Critically Endangered,No,Monsoon,Night
Sandalwood,Santalum album,Montane Forest,Monsoon,10,Jim Corbett National Park,Alluvial,Plains,Bhopal,Central India,Fire-resistant bark,Yes,Least Concern,No,Monsoon,Day
Rosewood,Dalbergia latifolia,Tropical Rainforest,Winter,15,Jim Corbett National Park,Black,Wetlands,Mumbai,West India,Important timber species,No,Near Threatened,No,Summer,Night
Coconut,Cocos nucifera,Mangrove Forest,Spring,12,Western Ghats,Alluvial,Plains,Shimla,North India,Used in shipbuilding,No,Critically Endangered,No,Spring,Day
Peepal,Ficus religiosa,Tropical Rainforest,Spring,25,Sundarbans,Red,Riverbanks,Kolkata,East India,Sacred in Hinduism,Yes,Near Threatened,No,Monsoon,Both
Jamun,Syzygium cumini,Mangrove Forest,Spring,22,Sundarbans,Sandy,Wetlands,Shimla,North India,National tree of India,No,Near Threatened,No,Autumn,Day
Neem,Azadirachta indica,Mangrove Forest,Summer,20,Western Ghats,Alluvial,Riverbanks,Guwahati,Northeast India,Used in Ayurveda,Yes,Least Concern,No,Spring,Both
Mango,Mangifera indica,Deciduous Forest,Autumn,18,Kaziranga,Black,Wetlands,Chennai,South India,Attracts fruit bats,No,Critically Endangered,Yes,Winter,Day
Jamun,Syzygium cumini,Mangrove Forest,Monsoon,22,Jim Corbett National Park,Red,Hills,Delhi,North India,National tree of India,Yes,Near Threatened,No,Monsoon,Day
Rosewood,Dalbergia latifolia,Deciduous Forest,Winter,15,Himalayan Forests,Laterite,Coastal Areas,Hyderabad,South India,Important timber species,Yes,Least Concern,Yes,Spring,Night
Coconut,Cocos nucifera,Deciduous Forest,Spring,12,Kaziranga,Red,Coastal Areas,Jaipur,West India,Used in shipbuilding,Yes,Least Concern,Yes,Spring,Both
Sal,Shorea robusta,Tropical Rainforest,Summer,40,Western Ghats,Alluvial,Riverbanks,Bangalore,South India,Source of sandalwood oil,Yes,Critically Endangered,Yes,Autumn,Night
Banyan,Ficus benghalensis,Deciduous Forest,Summer,30,Kaziranga,Sandy,Riverbanks,Shimla,North India,Host to diverse epiphytes,No,Least Concern,No,Autumn,Both
Sandalwood,Santalum album,Montane Forest,Summer,10,Kaziranga,Black,Hills,Shimla,North India,Fire-resistant bark,Yes,Critically Endangered,No,Monsoon,Day
Jamun,Syzygium cumini,Dry Thorn Forest,Winter,22,Kaziranga,Alluvial,Wetlands,Kolkata,East India,National tree of India,No,Near Threatened,Yes,Winter,Night
Coconut,Cocos nucifera,Montane Forest,Spring,12,Western Ghats,Black,Wetlands,Shimla,North India,Used in shipbuilding,No,Near Threatened,No,Autumn,Both
Teak,Tectona grandis,Deciduous Forest,Summer,35,Jim Corbett National Park,Black,Coastal Areas,Bhopal,Central India,High commercial value,Yes,Least Concern,No,Spring,Night
Rosewood,Dalbergia latifolia,Montane Forest,Spring,15,Kaziranga,Laterite,Riverbanks,Hyderabad,South India,Important timber species,Yes,Least Concern,No,Monsoon,Day
Coconut,Cocos nucifera,Dry Thorn Forest,Winter,12,Sundarbans,Sandy,Coastal Areas,Bangalore,South India,Used in shipbuilding,No,Least Concern,No,Autumn,Both
Jamun,Syzygium cumini,Tropical Rainforest,Spring,22,Jim Corbett National Park,Alluvial,Hills,Bhopal,Central India,National tree of India,No,Least Concern,No,Spring,Both
Mango,Mangifera indica,Deciduous Forest,Autumn,18,Kaziranga,Sandy,Coastal Areas,Hyderabad,South India,Attracts fruit bats,Yes,Least Concern,Yes,Spring,Night
Banyan,Ficus benghalensis,Tropical Rainforest,Winter,30,Kaziranga,Sandy,Riverbanks,Hyderabad,South India,Host to diverse epiphytes,No,Critically Endangered,No,Monsoon,Day
Teak,Tectona grandis,Dry Thorn Forest,Spring,35,Jim Corbett National Park,Black,Wetlands,Bhopal,Central India,High commercial value,No,Critically Endangered,Yes,Monsoon,Night
Mango,Mangifera indica,Dry Thorn Forest,Spring,18,Himalayan Forests,Laterite,Wetlands,Bangalore,South India,Attracts fruit bats,Yes,Least Concern,Yes,Summer,Day
Sandalwood,Santalum album,Tropical Rainforest,Autumn,10,Western Ghats,Red,Hills,Guwahati,Northeast India,Fire-resistant bark,No,Near Threatened,Yes,Winter,Night
Peepal,Ficus religiosa,Deciduous Forest,Summer,25,Himalayan Forests,Black,Plains,Chennai,South India,Sacred in Hinduism,No,Least Concern,Yes,Spring,Day
Mango,Mangifera indica,Tropical Rainforest,Monsoon,18,Kaziranga,Alluvial,Wetlands,Bangalore,South India,Attracts fruit bats,Yes,Near Threatened,No,Spring,Both
Coconut,Cocos nucifera,Tropical Rainforest,Summer,12,Sundarbans,Black,Wetlands,Delhi,North India,Used in shipbuilding,No,Least Concern,Yes,Autumn,Day
Neem,Azadirachta indica,Dry Thorn Forest,Spring,20,Himalayan Forests,Black,Hills,Mumbai,West India,Used in Ayurveda,No,Least Concern,Yes,Monsoon,Night
Sandalwood,Santalum album,Mangrove Forest,Summer,10,Western Ghats,Alluvial,Hills,Bhopal,Central India,Fire-resistant bark,Yes,Critically Endangered,Yes,Winter,Day
Neem,Azadirachta indica,Dry Thorn Forest,Monsoon,20,Kaziranga,Alluvial,Wetlands,Bangalore,South India,Used in Ayurveda,Yes,Least Concern,Yes,Autumn,Day
Neem,Azadirachta indica,Tropical Rainforest,Monsoon,20,Kaziranga,Alluvial,Riverbanks,Mumbai,West India,Used in Ayurveda,No,Least Concern,Yes,Winter,Day
Sal,Shorea robusta,Montane Forest,Autumn,40,Jim Corbett National Park,Black,Riverbanks,Kolkata,East India,Source of sandalwood oil,No,Least Concern,No,Winter,Day
Banyan,Ficus benghalensis,Mangrove Forest,Winter,30,Jim Corbett National Park,Laterite,Wetlands,Bhopal,Central India,Host to diverse epiphytes,No,Least Concern,No,Autumn,Both
Jamun,Syzygium cumini,Tropical Rainforest,Spring,22,Himalayan Forests,Black,Coastal Areas,Mumbai,West India,National tree of India,No,Least Concern,Yes,Summer,Both
Sandalwood,Santalum album,Deciduous Forest,Autumn,10,Kaziranga,Sandy,Wetlands,Bangalore,South India,Fire-resistant bark,Yes,Critically Endangered,No,Summer,Day
Mango,Mangifera indica,Mangrove Forest,Spring,18,Jim Corbett National Park,Sandy,Plains,Bangalore,South India,Attracts fruit bats,No,Near Threatened,Yes,Spring,Day
Sandalwood,Santalum album,Tropical Rainforest,Autumn,10,Sundarbans,Red,Riverbanks,Jaipur,West India,Fire-resistant bark,No,Least Concern,Yes,Summer,Both
Sal,Shorea robusta,Mangrove Forest,Winter,40,Himalayan Forests,Alluvial,Riverbanks,Chennai,South India,Source of sandalwood oil,No,Near Threatened,No,Winter,Night
Neem,Azadirachta indica,Dry Thorn Forest,Autumn,20,Kaziranga,Red,Riverbanks,Mumbai,West India,Used in Ayurveda,No,Least Concern,Yes,Monsoon,Day
Coconut,Cocos nucifera,Tropical Rainforest,Spring,12,Himalayan Forests,Laterite,Wetlands,Kolkata,East India,Used in shipbuilding,Yes,Critically Endangered,Yes,Winter,Night
Coconut,Cocos nucifera,Mangrove Forest,Summer,12,Kaziranga,Red,Riverbanks,Jaipur,West India,Used in shipbuilding,No,Least Concern,Yes,Winter,Day
Sal,Shorea robusta,Tropical Rainforest,Monsoon,40,Kaziranga,Laterite,Hills,Hyderabad,South India,Source of sandalwood oil,No,Least Concern,Yes,Monsoon,Day
Neem,Azadirachta indica,Montane Forest,Spring,20,Himalayan Forests,Sandy,Coastal Areas,Guwahati,Northeast India,Used in Ayurveda,No,Least Concern,Yes,Winter,Both
Coconut,Cocos nucifera,Mangrove Forest,Monsoon,12,Himalayan Forests,Red,Riverbanks,Mumbai,West India,Used in shipbuilding,No,Least Concern,No,Monsoon,Day
Peepal,Ficus religiosa,Dry Thorn Forest,Summer,25,Jim Corbett National Park,Black,Hills,Bangalore,South India,Sacred in Hinduism,Yes,Critically Endangered,Yes,Summer,Night
Banyan,Ficus benghalensis,Tropical Rainforest,Spring,30,Western Ghats,Sandy,Riverbanks,Kolkata,East India,Host to diverse epiphytes,No,Critically Endangered,Yes,Winter,Night
Sandalwood,Santalum album,Mangrove Forest,Summer,10,Kaziranga,Black,Riverbanks,Kolkata,East India,Fire-resistant bark,Yes,Critically Endangered,Yes,Winter,Night
Banyan,Ficus benghalensis,Mangrove Forest,Summer,30,Western Ghats,Laterite,Coastal Areas,Bangalore,South India,Host to diverse epiphytes,No,Least Concern,No,Spring,Night
Coconut,Cocos nucifera,Mangrove Forest,Spring,12,Western Ghats,Sandy,Plains,Shimla,North India,Used in shipbuilding,No,Near Threatened,No,Monsoon,Night
Peepal,Ficus religiosa,Tropical Rainforest,Monsoon,25,Western Ghats,Black,Plains,Hyderabad,South India,Sacred in Hinduism,No,Least Concern,No,Summer,Night
Mango,Mangifera indica,Dry Thorn Forest,Monsoon,18,Jim Corbett National Park,Red,Hills,Bhopal,Central India,Attracts fruit bats,Yes,Near Threatened,No,Spring,Day
Rosewood,Dalbergia latifolia,Mangrove Forest,Winter,15,Sundarbans,Red,Riverbanks,Delhi,North India,Important timber species,No,Least Concern,No,Spring,Both
Sandalwood,Santalum album,Dry Thorn Forest,Winter,10,Sundarbans,Laterite,Wetlands,Bhopal,Central India,Fire-resistant bark,No,Least Concern,Yes,Monsoon,Both
Mango,Mangifera indica,Tropical Rainforest,Autumn,18,Jim Corbett National Park,Sandy,Plains,Guwahati,Northeast India,Attracts fruit bats,No,Least Concern,No,Spring,Day
Teak,Tectona grandis,Montane Forest,Winter,35,Himalayan Forests,Sandy,Riverbanks,Delhi,North India,High commercial value,Yes,Least Concern,Yes,Summer,Day
Mango,Mangifera indica,Tropical Rainforest,Summer,18,Sundarbans,Alluvial,Wetlands,Kolkata,East India,Attracts fruit bats,No,Least Concern,Yes,Summer,Both
Sal,Shorea robusta,Mangrove Forest,Monsoon,40,Western Ghats,Alluvial,Coastal Areas,Jaipur,West India,Source of sandalwood oil,Yes,Least Concern,Yes,Summer,Both
Sal,Shorea robusta,Dry Thorn Forest,Monsoon,40,Jim Corbett National Park,Laterite,Hills,Hyderabad,South India,Source of sandalwood oil,No,Least Concern,No,Spring,Night
Sal,Shorea robusta,Montane Forest,Summer,40,Himalayan Forests,Laterite,Wetlands,Chennai,South India,Source of sandalwood oil,Yes,Critically Endangered,No,Monsoon,Day
Peepal,Ficus religiosa,Mangrove Forest,Spring,25,Jim Corbett National Park,Sandy,Riverbanks,Bangalore,South India,Sacred in Hinduism,Yes,Least Concern,Yes,Autumn,Night
Rosewood,Dalbergia latifolia,Mangrove Forest,Monsoon,15,Jim Corbett National Park,Laterite,Hills,Bhopal,Central India,Important timber species,Yes,Least Concern,Yes,Summer,Night
Mango,Mangifera indica,Dry Thorn Forest,Spring,18,Jim Corbett National Park,Black,Coastal Areas,Mumbai,West India,Attracts fruit bats,No,Critically Endangered,No,Autumn,Both
Teak,Tectona grandis,Tropical Rainforest,Summer,35,Sundarbans,Red,Plains,Hyderabad,South India,High commercial value,No,Least Concern,Yes,Summer,Night
Jamun,Syzygium cumini,Dry Thorn Forest,Summer,22,Sundarbans,Laterite,Coastal Areas,Kolkata,East India,National tree of India,Yes,Least Concern,Yes,Winter,Both
Sal,Shorea robusta,Tropical Rainforest,Spring,40,Kaziranga,Laterite,Plains,Hyderabad,South India,Source of sandalwood oil,No,Least Concern,No,Winter,Day
Sandalwood,Santalum album,Dry Thorn Forest,Spring,10,Himalayan Forests,Alluvial,Coastal Areas,Hyderabad,South India,Fire-resistant bark,No,Least Concern,No,Monsoon,Day
Sandalwood,Santalum album,Dry Thorn Forest,Summer,10,Kaziranga,Black,Hills,Bangalore,South India,Fire-resistant bark,Yes,Near Threatened,No,Autumn,Both
Neem,Azadirachta indica,Tropical Rainforest,Monsoon,20,Kaziranga,Laterite,Riverbanks,Guwahati,Northeast India,Used in Ayurveda,No,Least Concern,No,Autumn,Both
Banyan,Ficus benghalensis,Mangrove Forest,Autumn,30,Western Ghats,Red,Wetlands,Hyderabad,South India,Host to diverse epiphytes,Yes,Critically Endangered,Yes,Spring,Night
Sandalwood,Santalum album,Tropical Rainforest,Spring,10,Jim Corbett National Park,Black,Coastal Areas,Bhopal,Central India,Fire-resistant bark,Yes,Near Threatened,Yes,Summer,Night
Peepal,Ficus religiosa,Montane Forest,Autumn,25,Kaziranga,Black,Riverbanks,Chennai,South India,Sacred in Hinduism,No,Near Threatened,No,Spring,Both
Sal,Shorea robusta,Montane Forest,Monsoon,40,Sundarbans,Alluvial,Riverbanks,Kolkata,East India,Source of sandalwood oil,Yes,Critically Endangered,No,Autumn,Both
Sandalwood,Santalum album,Tropical Rainforest,Monsoon,10,Sundarbans,Sandy,Coastal Areas,Bhopal,Central India,Fire-resistant bark,No,Least Concern,Yes,Spring,Day
Teak,Tectona grandis,Montane Forest,Spring,35,Kaziranga,Red,Plains,Mumbai,West India,High commercial value,No,Least Concern,Yes,Summer,Both
Banyan,Ficus benghalensis,Deciduous Forest,Winter,30,Sundarbans,Alluvial,Riverbanks,Shimla,North India,Host to diverse epiphytes,No,Least Concern,No,Winter,Night
Neem,Azadirachta indica,Montane Forest,Monsoon,20,Kaziranga,Laterite,Riverbanks,Bangalore,South India,Used in Ayurveda,No,Least Concern,No,Summer,Both
Coconut,Cocos nucifera,Dry Thorn Forest,Autumn,12,Kaziranga,Laterite,Coastal Areas,Shimla,North India,Used in shipbuilding,No,Least Concern,No,Winter,Day
Banyan,Ficus benghalensis,Deciduous Forest,Autumn,30,Jim Corbett National Park,Black,Coastal Areas,Jaipur,West India,Host to diverse epiphytes,No,Least Concern,No,Spring,Both
Peepal,Ficus religiosa,Mangrove Forest,Autumn,25,Jim Corbett National Park,Laterite,Hills,Jaipur,West India,Sacred in Hinduism,No,Critically Endangered,No,Summer,Day
Rosewood,Dalbergia latifolia,Montane Forest,Summer,15,Himalayan Forests,Red,Coastal Areas,Kolkata,East India,Important timber species,No,Least Concern,No,Autumn,Day
Sal,Shorea robusta,Mangrove Forest,Autumn,40,Sundarbans,Laterite,Coastal Areas,Hyderabad,South India,Source of sandalwood oil,No,Least Concern,Yes,Winter,Both
Neem,Azadirachta indica,Dry Thorn Forest,Autumn,20,Jim Corbett National Park,Red,Wetlands,Jaipur,West India,Used in Ayurveda,Yes,Critically Endangered,No,Summer,Day
Rosewood,Dalbergia latifolia,Mangrove Forest,Autumn,15,Kaziranga,Black,Wetlands,Delhi,North India,Important timber species,No,Least Concern,Yes,Spring,Day
Rosewood,Dalbergia latifolia,Mangrove Forest,Spring,15,Kaziranga,Black,Wetlands,Chennai,South India,Important timber species,No,Critically Endangered,Yes,Monsoon,Both
Neem,Azadirachta indica,Mangrove Forest,Spring,20,Kaziranga,Sandy,Riverbanks,Chennai,South India,Used in Ayurveda,No,Least Concern,No,Autumn,Day
Mango,Mangifera indica,Mangrove Forest,Spring,18,Kaziranga,Alluvial,Riverbanks,Chennai,South India,Attracts fruit bats,No,Least Concern,Yes,Autumn,Both
Jamun,Syzygium cumini,Deciduous Forest,Winter,22,Kaziranga,Sandy,Wetlands,Guwahati,Northeast India,National tree of India,Yes,Least Concern,No,Winter,Both
Banyan,Ficus benghalensis,Deciduous Forest,Winter,30,Western Ghats,Red,Coastal Areas,Hyderabad,South India,Host to diverse epiphytes,No,Critically Endangered,No,Monsoon,Both
Sal,Shorea robusta,Dry Thorn Forest,Winter,40,Jim Corbett National Park,Black,Riverbanks,Mumbai,West India,Source of sandalwood oil,Yes,Critically Endangered,No,Spring,Day
Sal,Shorea robusta,Tropical Rainforest,Monsoon,40,Western Ghats,Black,Wetlands,Chennai,South India,Source of sandalwood oil,Yes,Least Concern,Yes,Summer,Night
Teak,Tectona grandis,Deciduous Forest,Monsoon,35,Himalayan Forests,Red,Plains,Jaipur,West India,High commercial value,Yes,Least Concern,No,Spring,Night
Sandalwood,Santalum album,Montane Forest,Monsoon,10,Sundarbans,Red,Wetlands,Bangalore,South India,Fire-resistant bark,No,Least Concern,Yes,Autumn,Day
Banyan,Ficus benghalensis,Dry Thorn Forest,Autumn,30,Kaziranga,Laterite,Riverbanks,Mumbai,West India,Host to diverse epiphytes,No,Near Threatened,No,Summer,Both
Mango,Mangifera indica,Montane Forest,Spring,18,Sundarbans,Red,Plains,Chennai,South India,Attracts fruit bats,Yes,Least Concern,Yes,Monsoon,Both
Neem,Azadirachta indica,Deciduous Forest,Spring,20,Himalayan Forests,Alluvial,Riverbanks,Kolkata,East India,Used in Ayurveda,Yes,Critically Endangered,No,Winter,Day
Sal,Shorea robusta,Dry Thorn Forest,Autumn,40,Himalayan Forests,Alluvial,Coastal Areas,Chennai,South India,Source of sandalwood oil,Yes,Near Threatened,Yes,Summer,Day
Coconut,Cocos nucifera,Dry Thorn Forest,Spring,12,Kaziranga,Sandy,Coastal Areas,Delhi,North India,Used in shipbuilding,No,Near Threatened,Yes,Summer,Day
Teak,Tectona grandis,Montane Forest,Spring,35,Sundarbans,Black,Riverbanks,Guwahati,Northeast India,High commercial value,No,Critically Endangered,No,Winter,Night
Sal,Shorea robusta,Tropical Rainforest,Summer,40,Jim Corbett National Park,Black,Hills,Jaipur,West India,Source of sandalwood oil,Yes,Least Concern,No,Summer,Both
Peepal,Ficus religiosa,Montane Forest,Winter,25,Kaziranga,Red,Hills,Chennai,South India,Sacred in Hinduism,No,Critically Endangered,Yes,Summer,Both
Sandalwood,Santalum album,Dry Thorn Forest,Spring,10,Western Ghats,Alluvial,Coastal Areas,Kolkata,East India,Fire-resistant bark,Yes,Least Concern,Yes,Spring,Both
Jamun,Syzygium cumini,Tropical Rainforest,Spring,22,Jim Corbett National Park,Laterite,Plains,Guwahati,Northeast India,National tree of India,No,Least Concern,Yes,Spring,Day
Neem,Azadirachta indica,Mangrove Forest,Spring,20,Kaziranga,Laterite,Coastal Areas,Jaipur,West India,Used in Ayurveda,Yes,Least Concern,Yes,Monsoon,Night
Coconut,Cocos nucifera,Dry Thorn Forest,Spring,12,Kaziranga,Red,Wetlands,Delhi,North India,Used in shipbuilding,Yes,Least Concern,Yes,Winter,Day
Sandalwood,Santalum album,Montane Forest,Winter,10,Sundarbans,Black,Wetlands,Bhopal,Central India,Fire-resistant bark,Yes,Least Concern,Yes,Winter,Night
Neem,Azadirachta indica,Montane Forest,Autumn,20,Kaziranga,Laterite,Plains,Hyderabad,South India,Used in Ayurveda,No,Critically Endangered,Yes,Monsoon,Day
Coconut,Cocos nucifera,Mangrove Forest,Monsoon,12,Kaziranga,Sandy,Plains,Kolkata,East India,Used in shipbuilding,Yes,Critically Endangered,No,Spring,Night
Sal,Shorea robusta,Montane Forest,Summer,40,Western Ghats,Laterite,Coastal Areas,Jaipur,West India,Source of sandalwood oil,No,Least Concern,Yes,Summer,Night
Coconut,Cocos nucifera,Tropical Rainforest,Summer,12,Kaziranga,Laterite,Hills,Jaipur,West India,Used in shipbuilding,Yes,Least Concern,Yes,Monsoon,Night
Neem,Azadirachta indica,Montane Forest,Autumn,20,Western Ghats,Alluvial,Hills,Bangalore,South India,Used in Ayurveda,No,Near Threatened,Yes,Summer,Night
Teak,Tectona grandis,Tropical Rainforest,Winter,35,Jim Corbett National Park,Red,Riverbanks,Mumbai,West India,High commercial value,No,Least Concern,No,Autumn,Both
Coconut,Cocos nucifera,Mangrove Forest,Monsoon,12,Kaziranga,Red,Plains,Delhi,North India,Used in shipbuilding,No,Least Concern,Yes,Spring,Both
Rosewood,Dalbergia latifolia,Tropical Rainforest,Monsoon,15,Himalayan Forests,Laterite,Hills,Delhi,North India,Important timber species,No,Critically Endangered,Yes,Autumn,Night
Neem,Azadirachta indica,Mangrove Forest,Winter,20,Jim Corbett National Park,Alluvial,Coastal Areas,Kolkata,East India,Used in Ayurveda,No,Least Concern,Yes,Monsoon,Day
Sandalwood,Santalum album,Deciduous Forest,Spring,10,Himalayan Forests,Alluvial,Coastal Areas,Shimla,North India,Fire-resistant bark,No,Least Concern,No,Spring,Day
Banyan,Ficus benghalensis,Tropical Rainforest,Monsoon,30,Western Ghats,Sandy,Coastal Areas,Chennai,South India,Host to diverse epiphytes,No,Critically Endangered,Yes,Winter,Day
Peepal,Ficus religiosa,Mangrove Forest,Spring,25,Himalayan Forests,Red,Coastal Areas,Shimla,North India,Sacred in Hinduism,Yes,Least Concern,No,Autumn,Both
Sandalwood,Santalum album,Deciduous Forest,Summer,10,Himalayan Forests,Sandy,Coastal Areas,Delhi,North India,Fire-resistant bark,Yes,Critically Endangered,Yes,Monsoon,Night
Sandalwood,Santalum album,Mangrove Forest,Winter,10,Jim Corbett National Park,Black,Hills,Guwahati,Northeast India,Fire-resistant bark,Yes,Least Concern,No,Winter,Night
Rosewood,Dalbergia latifolia,Deciduous Forest,Winter,15,Sundarbans,Sandy,Coastal Areas,Bangalore,South India,Important timber species,Yes,Least Concern,No,Autumn,Both
Teak,Tectona grandis,Mangrove Forest,Summer,35,Sundarbans,Red,Hills,Jaipur,West India,High commercial value,Yes,Near Threatened,Yes,Autumn,Night
Sal,Shorea robusta,Deciduous Forest,Winter,40,Western Ghats,Sandy,Hills,Shimla,North India,Source of sandalwood oil,No,Least Concern,No,Monsoon,Day
Banyan,Ficus benghalensis,Dry Thorn Forest,Autumn,30,Western Ghats,Black,Wetlands,Chennai,South India,Host to diverse epiphytes,Yes,Least Concern,Yes,Winter,Both
Neem,Azadirachta indica,Montane Forest,Winter,20,Jim Corbett National Park,Alluvial,Wetlands,Mumbai,West India,Used in Ayurveda,No,Near Threatened,No,Monsoon,Both
Mango,Mangifera indica,Dry Thorn Forest,Winter,18,Kaziranga,Alluvial,Wetlands,Jaipur,West India,Attracts fruit bats,No,Critically Endangered,No,Summer,Day
Sandalwood,Santalum album,Montane Forest,Monsoon,10,Sundarbans,Laterite,Hills,Hyderabad,South India,Fire-resistant bark,Yes,Critically Endangered,Yes,Monsoon,Night
Banyan,Ficus benghalensis,Deciduous Forest,Summer,30,Himalayan Forests,Alluvial,Wetlands,Jaipur,West India,Host to diverse epiphytes,No,Least Concern,No,Winter,Night
Sandalwood,Santalum album,Deciduous Forest,Monsoon,10,Western Ghats,Red,Hills,Bhopal,Central India,Fire-resistant bark,Yes,Least Concern,Yes,Spring,Day
Teak,Tectona grandis,Dry Thorn Forest,Summer,35,Sundarbans,Sandy,Hills,Chennai,South India,High commercial value,No,Least Concern,No,Winter,Night
Jamun,Syzygium cumini,Montane Forest,Spring,22,Kaziranga,Black,Plains,Jaipur,West India,National tree of India,No,Least Concern,No,Spring,Night
Sandalwood,Santalum album,Mangrove Forest,Spring,10,Kaziranga,Black,Riverbanks,Chennai,South India,Fire-resistant bark,Yes,Critically Endangered,No,Summer,Night
Jamun,Syzygium cumini,Mangrove Forest,Autumn,22,Kaziranga,Laterite,Wetlands,Mumbai,West India,National tree of India,Yes,Least Concern,No,Summer,Night
Sandalwood,Santalum album,Montane Forest,Monsoon,10,Kaziranga,Laterite,Coastal Areas,Bangalore,South India,Fire-resistant bark,Yes,Least Concern,Yes,Summer,Day
Neem,Azadirachta indica,Deciduous Forest,Summer,20,Western Ghats,Laterite,Riverbanks,Delhi,North India,Used in Ayurveda,Yes,Near Threatened,No,Spring,Both
Banyan,Ficus benghalensis,Dry Thorn Forest,Summer,30,Sundarbans,Black,Hills,Jaipur,West India,Host to diverse epiphytes,No,Least Concern,Yes,Autumn,Both
Rosewood,Dalbergia latifolia,Mangrove Forest,Summer,15,Kaziranga,Laterite,Coastal Areas,Jaipur,West India,Important timber species,No,Near Threatened,Yes,Autumn,Both
Peepal,Ficus religiosa,Deciduous Forest,Spring,25,Himalayan Forests,Laterite,Wetlands,Shimla,North India,Sacred in Hinduism,No,Near Threatened,No,Winter,Day
Banyan,Ficus benghalensis,Montane Forest,Autumn,30,Himalayan Forests,Red,Riverbanks,Kolkata,East India,Host to diverse epiphytes,Yes,Least Concern,No,Monsoon,Both
Jamun,Syzygium cumini,Mangrove Forest,Winter,22,Kaziranga,Alluvial,Wetlands,Hyderabad,South India,National tree of India,No,Least Concern,Yes,Autumn,Both
