name,city,forest,Season,active,Famous Forest for It,Food,Preferred Shelter Type,Unique Fact,Endemic Status,Conservation Status
Asiatic Lion,Nagpur,Thorn Forest,monsoon,afternoon,Periyar Wildlife Sanctuary,Insectivore,Caves,Can leap over 20 feet in a single bound.,No,Critically Endangered
Indian Elephant,Bhopal,Mangrove,monsoon,morning,Ranthambore National Park,Carnivore,Dense Trees,The only lion species found outside Africa.,No,
Indian Wolf,Nagpur,Tropical Rainforest,monsoon,night,Nagarhole National Park,Insectivore,Rocky Terrain,Can run at speeds of up to 80 km/h.,No,
Indian Cobra,Pune,Mangrove,monsoon,morning,Sundarbans,Omnivore,Burrows,The only lion species found outside Africa.,No,
Indian Wolf,Ranchi,Tropical Rainforest,monsoon,morning,Sundarbans,Herbivore,Caves,The longest venomous snake in the world.,No,
Indian Star Tortoise,Jaipur,Deciduous Forest,monsoon,afternoon,Bandhavgarh National Park,Insectivore,Dense Trees,Can run at speeds of up to 80 km/h.,No,
Indian Leopard,Jaipur,Tropical Rainforest,monsoon,night,Ranthambore National Park,Carnivore,Dense Trees,Recognizable by its golden fur.,No,Near Threatened
Indian Elephant,Jaipur,Mangrove,monsoon,morning,Bandhavgarh National Park,Omnivore,Burrows,Recognizable by its golden fur.,No,
Red Panda,Ranchi,Thorn Forest,winter,morning,Kanha National Park,Carnivore,Rocky Terrain,Can communicate using low-frequency rumbles.,No,
Indian Wolf,Mumbai,Mangrove,summer,afternoon,Hemis National Park,Insectivore,Grasslands,Recognizable by its golden fur.,No,
Indian Star Tortoise,Pune,Deciduous Forest,winter,afternoon,Jim Corbett National Park,Herbivore,Dense Trees,Uses its long tongue to extract termites from nests.,No,
Gaur,Kolkata,Tropical Rainforest,summer,afternoon,Hemis National Park,Insectivore,Caves,Can communicate using low-frequency rumbles.,No,
Red Panda,Bhopal,Tropical Rainforest,monsoon,afternoon,Gir Forest,Omnivore,Burrows,The longest venomous snake in the world.,No,
Indian Cobra,Lucknow,Thorn Forest,monsoon,afternoon,Hemis National Park,Insectivore,Water Bodies,Its venom is neurotoxic and highly potent.,No,
Indian Leopard,Shimla,Mangrove,monsoon,night,Hemis National Park,Carnivore,Rocky Terrain,Its venom is neurotoxic and highly potent.,No,Near Threatened
Bengal Tiger,Nagpur,Thorn Forest,monsoon,night,Jim Corbett National Park,Omnivore,Burrows,Can leap over 20 feet in a single bound.,No,
One-Horned Rhinoceros,Shimla,Tropical Rainforest,monsoon,morning,Jim Corbett National Park,Herbivore,Caves,"Can weigh up to 2,200 kg.",No,Near Threatened
Golden Langur,Dehradun,Deciduous Forest,summer,morning,Nagarhole National Park,Insectivore,Rocky Terrain,Can communicate using low-frequency rumbles.,No,
Blackbuck,Delhi,Tropical Rainforest,monsoon,night,Bandhavgarh National Park,Insectivore,Grasslands,One of the world's most elusive animals.,No,Least Concern
Blackbuck,Chennai,Tropical Rainforest,monsoon,morning,Jim Corbett National Park,Insectivore,Burrows,Can run at speeds of up to 80 km/h.,No,Least Concern
Indian Wolf,Shimla,Himalayan Forest,monsoon,morning,Bandhavgarh National Park,Omnivore,Burrows,Has the strongest bite force among big cats.,No,
One-Horned Rhinoceros,Jaipur,Deciduous Forest,monsoon,night,Bandhavgarh National Park,Omnivore,Caves,Its venom is neurotoxic and highly potent.,No,Near Threatened
Indian Leopard,Ranchi,Himalayan Forest,monsoon,night,Hemis National Park,Herbivore,Burrows,Largest species of wild cattle.,No,Near Threatened
Snow Leopard,Kolkata,Tropical Rainforest,summer,afternoon,Kaziranga National Park,Insectivore,Dense Trees,Largest species of wild cattle.,No,
Indian Wolf,Mumbai,Himalayan Forest,monsoon,morning,Nagarhole National Park,Insectivore,Rocky Terrain,Can run at speeds of up to 80 km/h.,No,
Indian Star Tortoise,Jaipur,Mangrove,monsoon,morning,Kaziranga National Park,Carnivore,Caves,One of the world's most elusive animals.,No,
Indian Cobra,Nagpur,Mangrove,monsoon,afternoon,Kanha National Park,Carnivore,Water Bodies,Has the strongest bite force among big cats.,No,
Indian Star Tortoise,Mumbai,Thorn Forest,summer,afternoon,Periyar Wildlife Sanctuary,Omnivore,Dense Trees,"Can weigh up to 2,200 kg.",No,
Bengal Tiger,Jaipur,Himalayan Forest,winter,night,Ranthambore National Park,Carnivore,Burrows,Survives in extreme cold temperatures.,No,
Bengal Tiger,Bhopal,Deciduous Forest,winter,night,Ranthambore National Park,Insectivore,Caves,The longest venomous snake in the world.,No,
Asiatic Lion,Kolkata,Thorn Forest,monsoon,afternoon,Hemis National Park,Omnivore,Water Bodies,The only lion species found outside Africa.,No,Critically Endangered
One-Horned Rhinoceros,Chennai,Tropical Rainforest,summer,afternoon,Nagarhole National Park,Herbivore,Burrows,Largest species of wild cattle.,No,Near Threatened
One-Horned Rhinoceros,Pune,Mangrove,winter,morning,Kanha National Park,Carnivore,Dense Trees,Survives in extreme cold temperatures.,No,Near Threatened
Sloth Bear,Bengaluru,Tropical Rainforest,monsoon,afternoon,Kaziranga National Park,Herbivore,Rocky Terrain,"Can weigh up to 2,200 kg.",No,Near Threatened
Indian Wolf,Shimla,Tropical Rainforest,winter,night,Kaziranga National Park,Insectivore,Rocky Terrain,Can leap over 20 feet in a single bound.,No,
Golden Langur,Ranchi,Thorn Forest,monsoon,afternoon,Kaziranga National Park,Herbivore,Water Bodies,Its venom is neurotoxic and highly potent.,No,
Bengal Tiger,Lucknow,Deciduous Forest,winter,night,Sundarbans,Insectivore,Burrows,The longest venomous snake in the world.,No,
Blackbuck,Hyderabad,Deciduous Forest,summer,night,Nagarhole National Park,Herbivore,Caves,Uses its long tongue to extract termites from nests.,No,Least Concern
Bengal Tiger,Chennai,Thorn Forest,summer,night,Bandhavgarh National Park,Herbivore,Burrows,The only lion species found outside Africa.,No,
One-Horned Rhinoceros,Mumbai,Deciduous Forest,winter,night,Nagarhole National Park,Omnivore,Burrows,Its venom is neurotoxic and highly potent.,No,Near Threatened
Red Panda,Hyderabad,Mangrove,winter,morning,Nagarhole National Park,Herbivore,Dense Trees,Its venom is neurotoxic and highly potent.,No,
Golden Langur,Delhi,Deciduous Forest,summer,night,Periyar Wildlife Sanctuary,Carnivore,Dense Trees,Can run at speeds of up to 80 km/h.,No,
Indian Leopard,Mumbai,Deciduous Forest,monsoon,night,Jim Corbett National Park,Herbivore,Caves,The only lion species found outside Africa.,No,Near Threatened
Indian Elephant,Kolkata,Thorn Forest,winter,afternoon,Gir Forest,Omnivore,Burrows,Has a beautifully patterned shell for camouflage.,No,
Snow Leopard,Bhopal,Mangrove,summer,morning,Ranthambore National Park,Carnivore,Grasslands,Its venom is neurotoxic and highly potent.,No,
Indian Cobra,Hyderabad,Himalayan Forest,winter,morning,Kanha National Park,Carnivore,Water Bodies,Survives in extreme cold temperatures.,No,
King Cobra,Hyderabad,Himalayan Forest,monsoon,morning,Nagarhole National Park,Carnivore,Burrows,Its venom is neurotoxic and highly potent.,No,
Bengal Tiger,Ranchi,Tropical Rainforest,monsoon,night,Hemis National Park,Carnivore,Dense Trees,Can leap over 20 feet in a single bound.,No,
Snow Leopard,Guwahati,Mangrove,winter,night,Hemis National Park,Omnivore,Water Bodies,Has a beautifully patterned shell for camouflage.,No,
Indian Elephant,Dehradun,Himalayan Forest,monsoon,night,Jim Corbett National Park,Insectivore,Water Bodies,Can leap over 20 feet in a single bound.,No,
Indian Cobra,Dehradun,Thorn Forest,monsoon,night,Kanha National Park,Insectivore,Water Bodies,Recognizable by its golden fur.,No,
Golden Langur,Nagpur,Mangrove,summer,night,Periyar Wildlife Sanctuary,Omnivore,Grasslands,Uses its long tongue to extract termites from nests.,No,
Red Panda,Dehradun,Himalayan Forest,summer,morning,Jim Corbett National Park,Insectivore,Rocky Terrain,Largest species of wild cattle.,No,
Snow Leopard,Hyderabad,Deciduous Forest,monsoon,morning,Bandhavgarh National Park,Herbivore,Dense Trees,"Hunts in packs, similar to African wild dogs.",No,
Sloth Bear,Nagpur,Thorn Forest,monsoon,night,Sundarbans,Insectivore,Water Bodies,Survives in extreme cold temperatures.,No,Near Threatened
Indian Cobra,Chennai,Deciduous Forest,monsoon,night,Kaziranga National Park,Herbivore,Rocky Terrain,"Can weigh up to 2,200 kg.",No,
Red Panda,Bhopal,Mangrove,winter,night,Ranthambore National Park,Herbivore,Burrows,Can communicate using low-frequency rumbles.,No,
Indian Cobra,Mumbai,Tropical Rainforest,monsoon,afternoon,Hemis National Park,Herbivore,Grasslands,"Hunts in packs, similar to African wild dogs.",No,
Indian Cobra,Ranchi,Deciduous Forest,summer,morning,Hemis National Park,Insectivore,Burrows,"Hunts in packs, similar to African wild dogs.",No,
Bengal Tiger,Kolkata,Deciduous Forest,winter,night,Sundarbans,Herbivore,Caves,Can leap over 20 feet in a single bound.,No,
Indian Elephant,Delhi,Himalayan Forest,monsoon,afternoon,Ranthambore National Park,Carnivore,Burrows,The only lion species found outside Africa.,No,
Indian Wolf,Jaipur,Mangrove,monsoon,afternoon,Sundarbans,Insectivore,Caves,Can communicate using low-frequency rumbles.,No,
Asiatic Lion,Mumbai,Thorn Forest,winter,afternoon,Sundarbans,Insectivore,Grasslands,Can run at speeds of up to 80 km/h.,No,Critically Endangered
Bengal Tiger,Ranchi,Mangrove,monsoon,night,Hemis National Park,Carnivore,Dense Trees,Its venom is neurotoxic and highly potent.,No,
Asiatic Lion,Chennai,Himalayan Forest,monsoon,afternoon,Bandhavgarh National Park,Omnivore,Dense Trees,"Hunts in packs, similar to African wild dogs.",No,Critically Endangered
One-Horned Rhinoceros,Ranchi,Deciduous Forest,summer,night,Kaziranga National Park,Herbivore,Caves,Survives in extreme cold temperatures.,No,Near Threatened
Indian Cobra,Kolkata,Thorn Forest,monsoon,night,Ranthambore National Park,Carnivore,Rocky Terrain,Recognizable by its golden fur.,No,
Sloth Bear,Jaipur,Mangrove,winter,afternoon,Kaziranga National Park,Herbivore,Caves,The longest venomous snake in the world.,No,Near Threatened
Indian Cobra,Ranchi,Deciduous Forest,monsoon,morning,Hemis National Park,Insectivore,Caves,Can communicate using low-frequency rumbles.,No,
Red Panda,Jaipur,Thorn Forest,summer,night,Kanha National Park,Herbivore,Water Bodies,Survives in extreme cold temperatures.,No,
Indian Star Tortoise,Jaipur,Mangrove,monsoon,night,Gir Forest,Herbivore,Grasslands,Uses its long tongue to extract termites from nests.,No,
Bengal Tiger,Bhopal,Mangrove,monsoon,night,Jim Corbett National Park,Carnivore,Rocky Terrain,Uses its long tongue to extract termites from nests.,No,
Bengal Tiger,Bengaluru,Deciduous Forest,monsoon,night,Periyar Wildlife Sanctuary,Herbivore,Burrows,One of the world's most elusive animals.,No,
Indian Wolf,Dehradun,Thorn Forest,monsoon,morning,Gir Forest,Insectivore,Dense Trees,One of the world's most elusive animals.,No,
Golden Langur,Bhopal,Thorn Forest,summer,afternoon,Kaziranga National Park,Carnivore,Grasslands,Has the strongest bite force among big cats.,No,
Blackbuck,Mumbai,Mangrove,monsoon,morning,Gir Forest,Herbivore,Dense Trees,Can run at speeds of up to 80 km/h.,No,Least Concern
King Cobra,Mumbai,Deciduous Forest,winter,afternoon,Ranthambore National Park,Carnivore,Water Bodies,"Hunts in packs, similar to African wild dogs.",No,
Sloth Bear,Lucknow,Himalayan Forest,summer,afternoon,Ranthambore National Park,Carnivore,Grasslands,Has a beautifully patterned shell for camouflage.,No,Near Threatened
Gaur,Dehradun,Deciduous Forest,summer,morning,Periyar Wildlife Sanctuary,Insectivore,Burrows,Its venom is neurotoxic and highly potent.,No,
Indian Wolf,Jaipur,Deciduous Forest,monsoon,night,Gir Forest,Herbivore,Water Bodies,Recognizable by its golden fur.,No,
Asiatic Lion,Bhopal,Mangrove,summer,afternoon,Bandhavgarh National Park,Carnivore,Dense Trees,Can run at speeds of up to 80 km/h.,No,Critically Endangered
Indian Leopard,Bhopal,Deciduous Forest,monsoon,night,Sundarbans,Carnivore,Water Bodies,Recognizable by its golden fur.,No,Near Threatened
One-Horned Rhinoceros,Pune,Thorn Forest,monsoon,night,Kanha National Park,Herbivore,Dense Trees,Can communicate using low-frequency rumbles.,No,Near Threatened
Bengal Tiger,Delhi,Himalayan Forest,monsoon,night,Hemis National Park,Insectivore,Grasslands,The longest venomous snake in the world.,No,
Indian Elephant,Nagpur,Mangrove,monsoon,morning,Jim Corbett National Park,Insectivore,Dense Trees,Has a beautifully patterned shell for camouflage.,No,
Gaur,Pune,Tropical Rainforest,monsoon,night,Ranthambore National Park,Omnivore,Burrows,The longest venomous snake in the world.,No,
One-Horned Rhinoceros,Bhopal,Mangrove,winter,night,Hemis National Park,Carnivore,Grasslands,The only lion species found outside Africa.,No,Near Threatened
Indian Cobra,Kolkata,Tropical Rainforest,monsoon,afternoon,Ranthambore National Park,Herbivore,Burrows,One of the world's most elusive animals.,No,
Asiatic Lion,Bengaluru,Tropical Rainforest,winter,night,Sundarbans,Omnivore,Dense Trees,Can run at speeds of up to 80 km/h.,No,Critically Endangered
Red Panda,Bhopal,Mangrove,summer,night,Bandhavgarh National Park,Omnivore,Water Bodies,Has the strongest bite force among big cats.,No,
One-Horned Rhinoceros,Delhi,Deciduous Forest,winter,afternoon,Nagarhole National Park,Insectivore,Burrows,Can leap over 20 feet in a single bound.,No,Near Threatened
Asiatic Lion,Hyderabad,Himalayan Forest,monsoon,night,Sundarbans,Omnivore,Dense Trees,One of the world's most elusive animals.,No,Critically Endangered
Bengal Tiger,Jaipur,Tropical Rainforest,monsoon,night,Sundarbans,Herbivore,Dense Trees,The only lion species found outside Africa.,No,
Indian Leopard,Dehradun,Mangrove,summer,night,Sundarbans,Omnivore,Burrows,Recognizable by its golden fur.,No,Near Threatened
Indian Leopard,Lucknow,Himalayan Forest,monsoon,night,Periyar Wildlife Sanctuary,Insectivore,Burrows,Can leap over 20 feet in a single bound.,No,Near Threatened
Bengal Tiger,Dehradun,Tropical Rainforest,monsoon,night,Ranthambore National Park,Omnivore,Water Bodies,Uses its long tongue to extract termites from nests.,No,
Indian Leopard,Jaipur,Thorn Forest,winter,night,Jim Corbett National Park,Herbivore,Rocky Terrain,Recognizable by its golden fur.,No,Near Threatened
Snow Leopard,Shimla,Tropical Rainforest,monsoon,night,Kanha National Park,Insectivore,Burrows,Has a beautifully patterned shell for camouflage.,No,
One-Horned Rhinoceros,Nagpur,Tropical Rainforest,monsoon,morning,Kanha National Park,Carnivore,Dense Trees,Largest species of wild cattle.,No,Near Threatened
Indian Elephant,Nagpur,Mangrove,winter,night,Nagarhole National Park,Herbivore,Rocky Terrain,Can run at speeds of up to 80 km/h.,No,
Snow Leopard,Pune,Deciduous Forest,summer,morning,Periyar Wildlife Sanctuary,Herbivore,Burrows,One of the world's most elusive animals.,No,
One-Horned Rhinoceros,Bengaluru,Mangrove,winter,afternoon,Periyar Wildlife Sanctuary,Herbivore,Grasslands,Can run at speeds of up to 80 km/h.,No,Near Threatened
Gaur,Shimla,Tropical Rainforest,monsoon,afternoon,Bandhavgarh National Park,Omnivore,Grasslands,Can leap over 20 feet in a single bound.,No,
Red Panda,Hyderabad,Mangrove,monsoon,morning,Ranthambore National Park,Carnivore,Burrows,The only lion species found outside Africa.,No,
Sloth Bear,Delhi,Tropical Rainforest,monsoon,night,Periyar Wildlife Sanctuary,Herbivore,Dense Trees,Can communicate using low-frequency rumbles.,No,Near Threatened
Indian Elephant,Jaipur,Himalayan Forest,winter,morning,Jim Corbett National Park,Carnivore,Burrows,"Hunts in packs, similar to African wild dogs.",No,
Blackbuck,Shimla,Tropical Rainforest,monsoon,afternoon,Periyar Wildlife Sanctuary,Carnivore,Water Bodies,"Hunts in packs, similar to African wild dogs.",No,Least Concern
Blackbuck,Mumbai,Deciduous Forest,winter,morning,Hemis National Park,Insectivore,Water Bodies,Recognizable by its golden fur.,No,Least Concern
Indian Wolf,Ranchi,Mangrove,winter,night,Gir Forest,Insectivore,Water Bodies,Uses its long tongue to extract termites from nests.,No,
Gaur,Mumbai,Deciduous Forest,summer,afternoon,Hemis National Park,Insectivore,Burrows,Can communicate using low-frequency rumbles.,No,
Sloth Bear,Chennai,Himalayan Forest,monsoon,night,Nagarhole National Park,Carnivore,Rocky Terrain,The longest venomous snake in the world.,No,Near Threatened
Gaur,Mumbai,Mangrove,summer,afternoon,Hemis National Park,Omnivore,Caves,Recognizable by its golden fur.,No,
One-Horned Rhinoceros,Hyderabad,Deciduous Forest,monsoon,morning,Kanha National Park,Carnivore,Burrows,Can run at speeds of up to 80 km/h.,No,Near Threatened
Red Panda,Lucknow,Deciduous Forest,monsoon,night,Nagarhole National Park,Omnivore,Caves,Its venom is neurotoxic and highly potent.,No,
Indian Cobra,Nagpur,Deciduous Forest,monsoon,afternoon,Periyar Wildlife Sanctuary,Omnivore,Dense Trees,Can communicate using low-frequency rumbles.,No,
Bengal Tiger,Pune,Mangrove,summer,night,Ranthambore National Park,Herbivore,Burrows,"Hunts in packs, similar to African wild dogs.",No,
Indian Leopard,Jaipur,Tropical Rainforest,monsoon,night,Hemis National Park,Insectivore,Dense Trees,The longest venomous snake in the world.,No,Near Threatened
Golden Langur,Lucknow,Himalayan Forest,winter,night,Nagarhole National Park,Omnivore,Dense Trees,Has a beautifully patterned shell for camouflage.,No,
Indian Leopard,Mumbai,Thorn Forest,winter,night,Nagarhole National Park,Omnivore,Caves,Can leap over 20 feet in a single bound.,No,Near Threatened
Golden Langur,Pune,Mangrove,winter,night,Sundarbans,Carnivore,Rocky Terrain,Has the strongest bite force among big cats.,No,
Sloth Bear,Jaipur,Tropical Rainforest,summer,afternoon,Nagarhole National Park,Herbivore,Water Bodies,Has a beautifully patterned shell for camouflage.,No,Near Threatened
Golden Langur,Lucknow,Deciduous Forest,winter,afternoon,Hemis National Park,Herbivore,Dense Trees,Uses its long tongue to extract termites from nests.,No,
Red Panda,Dehradun,Deciduous Forest,summer,night,Nagarhole National Park,Carnivore,Rocky Terrain,Recognizable by its golden fur.,No,
Indian Star Tortoise,Bengaluru,Tropical Rainforest,monsoon,night,Bandhavgarh National Park,Omnivore,Water Bodies,"Can weigh up to 2,200 kg.",No,
Golden Langur,Pune,Mangrove,summer,night,Ranthambore National Park,Insectivore,Rocky Terrain,Its venom is neurotoxic and highly potent.,No,
Gaur,Bhopal,Himalayan Forest,summer,afternoon,Nagarhole National Park,Omnivore,Dense Trees,Can run at speeds of up to 80 km/h.,No,
Indian Wolf,Pune,Deciduous Forest,monsoon,morning,Ranthambore National Park,Omnivore,Water Bodies,Survives in extreme cold temperatures.,No,
Gaur,Kolkata,Thorn Forest,summer,afternoon,Kanha National Park,Insectivore,Burrows,One of the world's most elusive animals.,No,
Snow Leopard,Kolkata,Deciduous Forest,monsoon,afternoon,Kaziranga National Park,Carnivore,Water Bodies,Can leap over 20 feet in a single bound.,No,
Indian Elephant,Nagpur,Mangrove,monsoon,night,Periyar Wildlife Sanctuary,Omnivore,Burrows,The only lion species found outside Africa.,No,
Indian Wolf,Delhi,Himalayan Forest,monsoon,afternoon,Bandhavgarh National Park,Carnivore,Dense Trees,Can leap over 20 feet in a single bound.,No,
Sloth Bear,Delhi,Himalayan Forest,monsoon,night,Gir Forest,Insectivore,Water Bodies,Has the strongest bite force among big cats.,No,Near Threatened
Indian Wolf,Bhopal,Deciduous Forest,summer,night,Sundarbans,Carnivore,Rocky Terrain,Uses its long tongue to extract termites from nests.,No,
Indian Leopard,Jaipur,Tropical Rainforest,monsoon,night,Hemis National Park,Omnivore,Rocky Terrain,Has a beautifully patterned shell for camouflage.,No,Near Threatened
Snow Leopard,Bengaluru,Deciduous Forest,monsoon,night,Kanha National Park,Omnivore,Burrows,Its venom is neurotoxic and highly potent.,No,
Sloth Bear,Bengaluru,Thorn Forest,monsoon,night,Ranthambore National Park,Insectivore,Water Bodies,Can communicate using low-frequency rumbles.,No,Near Threatened
Golden Langur,Dehradun,Mangrove,summer,night,Periyar Wildlife Sanctuary,Carnivore,Caves,The longest venomous snake in the world.,No,
Indian Cobra,Shimla,Thorn Forest,monsoon,morning,Gir Forest,Omnivore,Water Bodies,The longest venomous snake in the world.,No,
Indian Wolf,Ranchi,Tropical Rainforest,monsoon,morning,Sundarbans,Herbivore,Dense Trees,One of the world's most elusive animals.,No,
Gaur,Dehradun,Deciduous Forest,monsoon,morning,Hemis National Park,Omnivore,Grasslands,The longest venomous snake in the world.,No,
Golden Langur,Dehradun,Thorn Forest,monsoon,afternoon,Periyar Wildlife Sanctuary,Herbivore,Rocky Terrain,Has the strongest bite force among big cats.,No,
One-Horned Rhinoceros,Shimla,Tropical Rainforest,monsoon,afternoon,Gir Forest,Carnivore,Grasslands,Has the strongest bite force among big cats.,No,Near Threatened
King Cobra,Dehradun,Himalayan Forest,monsoon,night,Bandhavgarh National Park,Omnivore,Dense Trees,Largest species of wild cattle.,No,
Indian Wolf,Chennai,Tropical Rainforest,monsoon,night,Periyar Wildlife Sanctuary,Carnivore,Rocky Terrain,Can leap over 20 feet in a single bound.,No,
Blackbuck,Guwahati,Thorn Forest,winter,night,Kaziranga National Park,Carnivore,Water Bodies,Largest species of wild cattle.,No,Least Concern
Bengal Tiger,Jaipur,Mangrove,summer,night,Nagarhole National Park,Herbivore,Water Bodies,The longest venomous snake in the world.,No,
Red Panda,Pune,Mangrove,summer,night,Hemis National Park,Insectivore,Dense Trees,Has a beautifully patterned shell for camouflage.,No,
Golden Langur,Shimla,Mangrove,summer,night,Hemis National Park,Omnivore,Dense Trees,One of the world's most elusive animals.,No,
Asiatic Lion,Guwahati,Himalayan Forest,winter,morning,Hemis National Park,Carnivore,Dense Trees,The longest venomous snake in the world.,No,Critically Endangered
Gaur,Lucknow,Mangrove,summer,morning,Periyar Wildlife Sanctuary,Omnivore,Rocky Terrain,One of the world's most elusive animals.,No,
Golden Langur,Bengaluru,Deciduous Forest,summer,morning,Nagarhole National Park,Herbivore,Dense Trees,Can communicate using low-frequency rumbles.,No,
Asiatic Lion,Dehradun,Tropical Rainforest,summer,night,Kaziranga National Park,Carnivore,Burrows,"Can weigh up to 2,200 kg.",No,Critically Endangered
Blackbuck,Delhi,Mangrove,monsoon,afternoon,Bandhavgarh National Park,Herbivore,Caves,"Hunts in packs, similar to African wild dogs.",No,Least Concern
Asiatic Lion,Lucknow,Deciduous Forest,monsoon,night,Sundarbans,Carnivore,Grasslands,One of the world's most elusive animals.,No,Critically Endangered
King Cobra,Mumbai,Mangrove,summer,night,Ranthambore National Park,Omnivore,Rocky Terrain,Largest species of wild cattle.,No,
One-Horned Rhinoceros,Pune,Himalayan Forest,summer,night,Bandhavgarh National Park,Insectivore,Water Bodies,Can leap over 20 feet in a single bound.,No,Near Threatened
King Cobra,Guwahati,Himalayan Forest,winter,morning,Hemis National Park,Herbivore,Grasslands,Uses its long tongue to extract termites from nests.,No,
Indian Cobra,Bhopal,Tropical Rainforest,monsoon,morning,Hemis National Park,Herbivore,Water Bodies,Survives in extreme cold temperatures.,No,
Indian Star Tortoise,Bengaluru,Himalayan Forest,monsoon,night,Sundarbans,Herbivore,Caves,Can leap over 20 feet in a single bound.,No,
Indian Elephant,Guwahati,Deciduous Forest,monsoon,afternoon,Bandhavgarh National Park,Herbivore,Dense Trees,Survives in extreme cold temperatures.,No,
Snow Leopard,Chennai,Mangrove,monsoon,night,Jim Corbett National Park,Omnivore,Rocky Terrain,Uses its long tongue to extract termites from nests.,No,
King Cobra,Nagpur,Mangrove,monsoon,morning,Hemis National Park,Insectivore,Dense Trees,Can communicate using low-frequency rumbles.,No,
King Cobra,Chennai,Himalayan Forest,summer,night,Gir Forest,Carnivore,Grasslands,Can run at speeds of up to 80 km/h.,No,
King Cobra,Hyderabad,Himalayan Forest,monsoon,night,Periyar Wildlife Sanctuary,Insectivore,Grasslands,Can leap over 20 feet in a single bound.,No,
One-Horned Rhinoceros,Ranchi,Mangrove,summer,night,Hemis National Park,Insectivore,Burrows,The longest venomous snake in the world.,No,Near Threatened
Red Panda,Guwahati,Deciduous Forest,monsoon,afternoon,Sundarbans,Insectivore,Dense Trees,The only lion species found outside Africa.,No,
Golden Langur,Bhopal,Thorn Forest,monsoon,morning,Ranthambore National Park,Omnivore,Dense Trees,Uses its long tongue to extract termites from nests.,No,
Red Panda,Dehradun,Tropical Rainforest,summer,afternoon,Gir Forest,Omnivore,Dense Trees,The longest venomous snake in the world.,No,
Snow Leopard,Kolkata,Thorn Forest,monsoon,night,Ranthambore National Park,Omnivore,Caves,Uses its long tongue to extract termites from nests.,No,
Golden Langur,Lucknow,Tropical Rainforest,monsoon,afternoon,Gir Forest,Carnivore,Burrows,The longest venomous snake in the world.,No,
Gaur,Guwahati,Tropical Rainforest,winter,afternoon,Kaziranga National Park,Herbivore,Caves,The only lion species found outside Africa.,No,
Sloth Bear,Pune,Tropical Rainforest,summer,night,Bandhavgarh National Park,Insectivore,Burrows,"Can weigh up to 2,200 kg.",No,Near Threatened
Indian Star Tortoise,Jaipur,Mangrove,winter,morning,Sundarbans,Herbivore,Caves,Uses its long tongue to extract termites from nests.,No,
Blackbuck,Bhopal,Himalayan Forest,monsoon,afternoon,Periyar Wildlife Sanctuary,Herbivore,Dense Trees,"Hunts in packs, similar to African wild dogs.",No,Least Concern
King Cobra,Ranchi,Mangrove,monsoon,night,Kanha National Park,Herbivore,Caves,The only lion species found outside Africa.,No,
Indian Cobra,Jaipur,Himalayan Forest,monsoon,morning,Kanha National Park,Omnivore,Dense Trees,The only lion species found outside Africa.,No,
Sloth Bear,Delhi,Deciduous Forest,monsoon,night,Sundarbans,Omnivore,Caves,Can run at speeds of up to 80 km/h.,No,Near Threatened
King Cobra,Shimla,Thorn Forest,monsoon,night,Nagarhole National Park,Herbivore,Caves,Can run at speeds of up to 80 km/h.,No,
Red Panda,Hyderabad,Himalayan Forest,winter,morning,Ranthambore National Park,Insectivore,Grasslands,"Can weigh up to 2,200 kg.",No,
Sloth Bear,Jaipur,Himalayan Forest,winter,morning,Sundarbans,Insectivore,Burrows,Can communicate using low-frequency rumbles.,No,Near Threatened
Golden Langur,Lucknow,Thorn Forest,monsoon,night,Bandhavgarh National Park,Insectivore,Burrows,Can leap over 20 feet in a single bound.,No,
Indian Cobra,Delhi,Thorn Forest,winter,night,Nagarhole National Park,Omnivore,Caves,One of the world's most elusive animals.,No,
Golden Langur,Bengaluru,Thorn Forest,summer,morning,Ranthambore National Park,Insectivore,Rocky Terrain,Survives in extreme cold temperatures.,No,
Snow Leopard,Nagpur,Thorn Forest,monsoon,morning,Kaziranga National Park,Carnivore,Dense Trees,Can leap over 20 feet in a single bound.,No,
Indian Elephant,Hyderabad,Himalayan Forest,monsoon,night,Periyar Wildlife Sanctuary,Insectivore,Caves,The longest venomous snake in the world.,No,
Golden Langur,Kolkata,Thorn Forest,summer,night,Ranthambore National Park,Carnivore,Dense Trees,Can leap over 20 feet in a single bound.,No,
Snow Leopard,Shimla,Tropical Rainforest,summer,night,Jim Corbett National Park,Herbivore,Burrows,Uses its long tongue to extract termites from nests.,No,
One-Horned Rhinoceros,Lucknow,Thorn Forest,monsoon,afternoon,Nagarhole National Park,Carnivore,Rocky Terrain,"Hunts in packs, similar to African wild dogs.",No,Near Threatened
Bengal Tiger,Pune,Tropical Rainforest,winter,night,Nagarhole National Park,Carnivore,Dense Trees,One of the world's most elusive animals.,No,
Blackbuck,Ranchi,Thorn Forest,monsoon,night,Sundarbans,Omnivore,Rocky Terrain,Has a beautifully patterned shell for camouflage.,No,Least Concern
King Cobra,Chennai,Himalayan Forest,monsoon,morning,Hemis National Park,Carnivore,Grasslands,Can leap over 20 feet in a single bound.,No,
Bengal Tiger,Hyderabad,Tropical Rainforest,summer,night,Kanha National Park,Herbivore,Burrows,Survives in extreme cold temperatures.,No,
Golden Langur,Lucknow,Mangrove,monsoon,afternoon,Jim Corbett National Park,Insectivore,Water Bodies,Has the strongest bite force among big cats.,No,
